번호,하위분류,제목,문의내용,답변부서,답변내용
195,"건축물의 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",(긴급) 기존 건축물 안전성평가 시 보강 설계 기준 관련 문의,대상 시설물의 구조해석 및 구조안전성 검토는 시설물의 안전 및 유지관리 실시 세부지침 6.5.1 일반에 따라 설계 당시에 적용된 기준에 의해 실시한다는 내용은 이해했습니다.안전성평가 실시 후 보강이 필요한 부재에 대해서도설계 당시에 적용된 기준에 따라 보강설계를 해야하는 것인지현행 기준으로 보강설계를 해야하는 것인지명확한 내용이 없어서 문의드립니다.,건축안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “건축물 안전성평가 기준”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 문의주신 바와 같이 세부지치 6.5.1 안전성평가기준 및 방법 일반사항에서 ""대상 시설물의 구조해석 및 구조안전성 검토는 설계 당시에 적용된 기준에 의해 실시"" 하도록 규정되어 있습니다.   나. 다만, 구조안전성 평가 후 ""필요한 경우에 구조에 대한 사용제한이나 보강을 합리적으로 이행"" 하도록 명기되어 있습니다. 이에 따라, 보강(안)에 대한 적용기준(설계당시 또는 현행) 및 보강설계 수준을 결정은 책임기술자의 판단에 따라 진행하고, 목표수준 및 적용기준 등을 판단근거를 보고서에 명기하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건축안전관리실(업무담당 김민수 ☏ 055-771-4816)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다."
610,"터널,공동구 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련문의",시설물 안전법 관련 철도역시설 중 지하역사의 선로구간 내 승강장 분류,"귀 기관의 노고에 항상 감사드립니다. 1. 시설물안전법 시행령 별표1.과 1의2에 따라 시설물의 종류를 구분하고 있으며, 이에 따라 세부지침은 총 15개의 시설물 분야로 분류되어 각 지침이 제정되어 있습니다. 각 시설물은 관련정의와 법령에 따라 기준이 되는 분류가 존재하며, 예외사항을 두어 법령에서도 일부 다르게 분류된다고 말씀 드렸습니다. 국토안전관리원에서 시설물의 고유 분류는 변할수 없다는 의견에 대해 예외사항이 법령제정 초창기부터 이어져 왔다는 개념에 대해 설명드렸던 내용입니다. 전용댐과 상하수도의 분류에 대한 설명이 아니라 기준이 되는 분류가 있어도 다른 시설물로 볼수 있다는 의미입니다. 토목분야 기술자가 안전점검을 수행하더라도 기준이 되는 시설물 분야를 정하고 안전점검을 수행해야 할 것입니다. 예외사유에 해당된다면 댐은 상하수도 시설로 볼수 있고, 건축물도 터널로 볼수 있습니다. 안되는 사유가 따로 없으시다면 여기까지의 내용은 인정이 되실까요?2. 세부지침에 각 시설물마다 포함된 부대시설은 해당시설물에 따라 실시하여야 한다고 기술되어 있습니다. 건축물에 포함된 옹벽은 옹벽 지침에 따라 점검하면 될 것이며, 제2,3종시설물에 해당된다면 별도의 시설물로 분류하여 토목분야 기술자가 옹벽지침에 따라 점검을 수행하면 됩니다. 터널대상시설에서 지하역사는 기본시설물입니다. 지하역사의 일부는 터널시설물로 점검을 해야 된다는 의미입니다. 지하역사 중 선로구간 내 승강장이 터널시설물이 되어야 하는 이유입니다.다른 설명이 더 필요할까요?시행령 별표9 비고3의 내용에 따른 건축물은 상하수도, 배수펌프장 등의 기타시설물입니다. 당연히 건축물로 점검하면 됩니다. 승강장이 포함된다면 터널의 기본시설물이므로 토목분야 기술자가 점검을 실시해야 되겠죠? 각 시설물 분야별 지침 내용을 확인해보시기 바랍니다.또한 세부지침_상수도편 등 여러 대상시설 각주 내용에서 ‘토목구조물과 건축물이 일체로 된 경우의 건축물은 (해당 토목분야)기본시설물에 포함된다.’ 라고 안내하고 있습니다.3. 세부지침_터널편 내 지하역사 정의는 인용하되, 정거장이 포함된 도시철도 터널 기본정의는 왜 논외로 하시는지 이해할 수 없는 부분입니다. 도시철도 터널 정의는 지침제정 초창기부터 이어져온 주요 핵심 정의입니다. 그동안 철도건설법 철도역시설 정의는 근거로 말씀하시면서 철도건설법 철도시설 분류는 왜 근거가 될 수 없는지도 부연설명이 필요합니다.혹시라도 특정 결과를 미리 정하시고 답변을 작성하는 것이 아니시라면 기본적으로 제시된 법령이나 지침 등의 사항은 어느정도 인정해주시고 답변해주시길 부탁드립니다.4. 첨부해주신 의견조회 문서로 미루어 기술된 관련근거가 없다고 판단해도 될까요?5. 현재 기준 세부지침_터널편 내용을 정리하면용어정의 내도시철도 터널-도시철도법에 의하여 건설 또는 관리하는 철도상의 터널로서 터널의 연장은 도시철도 건설규칙에서 규정한 정거장이 포함된 지하터널 입출구부를 기준으로 한다.개착터널 - 지하철, 지하차도, 지하역사 등이 포함된다. 역사 - 지하역사는 출입통로·대합실·승강장 및 환승통로와 이에 딸린 시설물을 포함한다.정거장 - 승객이 열차(본선에서 운행할 목적으로 편성된 차량을 말한다)를 타고 내리는데 사용되는 장소를 말한다.터널시설물 대상시설 범위에서-기본시설물 내 지하역사 포함이며주1) 지하역사에서 터널시설물은 터널과 연속되는 선로구간에 한함2.2 현장조사 터널분류 중 개착터널에서-개착터널(지하차도, 지하정거장, 지하역사 포함)-철근콘크리트이라 기술하고 있습니다. 종합하여 설명드리면 - 개착터널로 구축된 터널시설물은 지하정거장, 지하역사를 포함하며, 지하정거장과 지하역사 중 개착터널 내부에 구축된 승강장은 터널과 연속되는 선로구간 내 시설물로 터널시설물에 포함한다. 라고 해석됩니다.선로구간 내 승강장이 터널시설물에 포함이 되어야 도시철도 터널 정의 부분이 설명되며, 터널대상시설 기본시설물 중 지하역사가 포함된 이유도 설명이 됩니다.승강장이 제외되고는 세부지침 내용이 설명이 되질 않습니다. 이 부분에 대한 국토안전관리원 의견이 있으실까요?6. 2021.12. 세부지침 개정 전 기술된 지하정거장의 의미는 승강장층의 의미로 같은층 승강장, 연결통로, 환승승강장 또는 대합실 등으로 해석될 여지가 있다고 이전 질의서에서 설명 드렸던 내용입니다. 그리하여 시행령은 2011.11.에 승강장층에서 선로구간으로 변경하였고, 세부지침_터널편은 2021.12. 개정 시 4개 시설물로 분류된 지하역사에 대한 설명을 추가하고 터널대상 기본시설물에 지하역사를 추가하였으며, 선로구간에 한하여 포함된 시설물 즉 승강장 부분만 점검하도록 지침을 개정하여 지침상 혼란부분만 명확하게 정리한걸로 판단됩니다. 그래야 법령과 지침의 내용이 일관성을 가질수 있습니다.선로구간과 선로구역은 다른 의미입니다. 또한 승강장층과 승강장은 다른 의미입니다.이러한 구분을 이해하시고 그동안의 내용들을 검토하시길 바랍니다.그동안 질의했던 사항은 개인의 의견을 억지스럽게 주장하고자 하는 것이 아닙니다. 현재기준 관계법령과 지침 등에 기술되어 있는 내용에 따라 그동안 국토안전관리원의 답변에 오류가 보여 바로잡고자 하는 사항입니다. 당장 국토안전관리원의 의견에 따라 안전점검을 수행할수 있겠지만, 향후 관련 법령, 지침등에 따라 이와 같은 의견들이 계속 제기될 것입니다. 자칫 결과에 따라 관리기관들에 대한 과태료 처분 등 분쟁의 소지가 있을 수 있습니다.이 시점에서 바로잡고 가주시길 부탁드립니다. 관련내용에 대해 충분한 설명을 드렸습니다. 제가 설명드린 부분에 대해 인정되지 않는 부분이 있으시면 추가로 답변드리겠습니다.다음 업무 추진을 위해 신속한 답변처리 부탁드립니다.질의서는 공개로 유지 부탁드립니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “터널 시설물 구분” 에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 시설물안전법에 따른 안전점검등 및 성능평가 대상시설물은 시행령 [별표 1], [별표 1의 2] 및 [별표 13]에 따라 대상시설물을 판단하고, [별표 9]에 따라 안전점검등 및 성능평가의 실시범위를 종류, 직무 분야, 대상시설물로 구분하여 제시하고 있습니다. 승강장은 철도 역시설로 시설물안전법상 제1종 또는 제2종시설물에 해당하는 건축물입니다. 따라서, 철도 역시설의 안전점검등을 실시할 때 포함되어 점검을 실시해야 합니다. 도시철도의 경우 토목부, 건축무, 궤도부, 전력부 등 복합적으로 연결되어 있어 대상범위 선정시 법적 시설물(토목, 건축)을 먼저 구분함이 바람직한 것으로 사료됩니다. 따라서, 세부지침 터널편에 제시된 기본시설물 범위 중 지하역사의 경우 지하역사 전체를 대상범위로 선정하는 것이 아닌 선로구간에 한하여 대상범위를 선정하며, 선로구간에 대한 명확한 법적 해석이 없으므로 시설물 구분 상 철도 역시설을 제외한(건축물에 해당) 구간을 터널의 대상범위로 선정함이 바람직한 것으로 사료됩니다.   나. 법 시행령 [별표 9] 비고 3.에 따라 건축물이 포함된 상하수도, 배수펌프장 등의 경우 건축물의 점검 또는 진단은 건축 분야의 기술자가 수행하여야 한다. 라고 명시되어 있어 건축분야의 경우 건축분야 점검자가 안전점검등을 실시하도록 명시되어 있습니다. 또한, 상하수도, 배수펌프장 등 토목구조물과 건축물이 일체로 연결된 시설물의 경우 토목구조물과 일체화된 건축물의 규모가 시설물안전법상 제1종, 제2종 및 제3종시설물에 해당하지 않는 경우가 존재하여 토목구조물 점검시 기본시설물에 포함하여 건축분야의 기술자가 점검을 실시하고 있습니다. 이와 같이 승강장의 경우 철도 역시설로 건축물에 해당하므로 당초 건축물(철도 역시설)에 포함하여 유지관리를 실시함이 바람직하며, 질의하신 내용과 같이 부득이하게 터널의 범위에 포함된다 하더라도 건축 분야 점검자가 점검을 실시하는 것이 바람직할 것으로 사료됩니다. 다. 세부지침 터널편에 정의된 도시철도의 정의 중 터널의 연장에 대해서는 시·종점을 구분하기 위함으로 안내드렸습니다. 향후 용어정의에 대해 혼란이 가중된다 판단되는 경우 세부지침을 개정할 계획입니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 주익재 ☏ 055-771-8331)으로 문의하여 주시면 친절히 답변드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다. "
618,안전관리계획서 작성 관련 문의,기존 건물 수평 증축시 안전관리계획서 국토안전관리원 검토 대상 여부,"참 조 : 1. 기존 건물 연면적 : 9,505 M2 노유자시설(노인복지관) ?2종시설물  2. 금회 증축 건물 연면적 : 4,460 M2 노유자시설(어린이회관)당 현장은 기존 건물(노인복지관) 필지 안의 빈 땅에 신설되는 별도의 증축 건물(어린이회관)입니다. 기존 건물(노인복지관)과 금회 증축 건물(어린이회관)의 연결은 지하 1층과 지하2층으로 주차장 통로 연결됩니다. (폭8M*길이4M) [지상층의 연결은 없습니다.]따라서 금회 증축 건물의 안전관리계획서 검토를 종외시설물로 해석해서 건설안전점검기관에 의뢰를 해야하는지? 기존 건물과 연관하여 2종시설물로 해석해서 국토안전관리원에 의뢰를 해야 하는지 여부를 확인 요청 드립니다.",건설안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 작성여부(1,2종 및 종외시설물 대상여부)”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. '시설물안전 및 유지관리에관한 특별법'[별표1] 비고10호에 따르면 '건축물의 연면적은 지하층을 포함한 동별로 계산되며, 다만, 2동 이상의 건축물이 구조로 연결된 경우에는 연면적의 합계를 말한다'라고 명시되어 있습니다   나. 따라서 질의하여주신 어린이 회관 증축의 경우 기존의 건축물(노유자시설(노인복지관)_2종시설물)과 구조적으로 연결될 경우 증축되는 건축물 또한 2종시설물에 포함되어야 하며 질의하여 주신 현장의 경우 2종시설물에 해당함으로 국토안전관리원에 안전관리계획서를 검토해야 합니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다.   "
448,지하안전정보시스템(JIS) 관련 문의,지하안전점검탭 권한요청,안녕하세요. 한전 강남지사 이ㅇㅇ입니다. 지하안전점검탭을 활성화하여 한전소유 지하시설물 정보를 업데이트 해야하는데 권한이 없어서 어떻게 권한을 신청하는지 문의드립니다. 감사합니다.,지하안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의 내용은 “JIS 시스템 내 지하시설물정보 관련 권한 신청 방법”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다. 가. 지하시설물정보를 등록하시려면, JIS 상 ‘지하시설물관리자로(대표)’로 회원가입 후 붙임 자료를 참조하여 진행해주시기 바랍니다. * 확인결과, 민원인은 ‘지하시설물관리자’가 아닌 ‘지하개발사업자’로 회원가입하여, 지하안전점검 탭이 비활성화된 상태였습니다.첨부파일1.  JIS_지하안전점검 등록법 1부.4. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 지하안전관리실(업무담당 이은미 ☏ 055-771-1584)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
469,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",기초안전성평가(세굴),시설물이 반복개구조물이고 기둥 기초가 노출되어 있지 않은 경우기초안전성평가(세굴)를 실시하지 않아도 되는지 문의드립니다.,시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""기초안전성평가 실시 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 세굴에 대한 안전성평가는 기본과업으로 해당 시설물이 하천 등에 위치한 경우 반드시 실시하여야 합니다.  나. 기초안전성은 기초나 말뚝 내에 예상세굴심이 있는 경우에 실시하며, 그 결과에 따라 'b∼d'등급으로 산정합니다. 만약, 기초안전성 평가의 실시가 곤란한 경우 책임기술자의 판단에 따라 세굴심 검토결과와 외관조사결과에 따른 상태평가 결과를 참조하여 등급을 산정할 수 있습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 박준석 ☏ 055-771-8495)으로 문의하여 주시면 친절히 답변 드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다."
619,"건설,시설물,지하사고 신고",지반침하사고 발생 신고서 양식 관련 건의,"시스템을 통하여 지반침하사고 발생 신고서 작성 시 현장사진, 폭발위험성 유무, 긴급복구 필요 여부의 항목이 추가로 등록되면 좋을 것 같아 개선 건의드립니다.",사고정보분석실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 건의 내용은 ""지반침하사고 발생 신고 사항에 현장사진, 폭발위험성 유무, 긴급복구 필요 여부를 추가 등록하도록 개선""을 제안하는 것으로 이해(판단)됩니다.3. 귀하의 건의 사항에 대한 검토 의견은 다음과 같습니다. - 지반침하사고 신고 항목에 ""현장사진"", ""폭발위험 유무"", ""긴급복구 필요 여부""를  추가하자는 제안은 국토교통부와 협의가 필요한 사항으로 협의 결과에 따라 필요 시 시스템에 반영토록 조치하겠습니다.4. 귀하의 질문에 대해 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우에는 사고정보분석실(업무담당  신상기, 055-771-1782)로 문의하여 주시면 친절히 답변 드리겠습니다.5. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.  감사합니다."
691,정밀안전점검 및 정밀안전진단 실시결과 평가 관련 문의,정밀안전진단 용역에서 내진성능평가 포함 여부에 대한 관리주체 확인,"내진성능평가가 포함되어 있지 않은 정밀안전진단 용역에 대해 내진성능평가 관련 자료를 제출하라는 공문을 국토안전관리원으로부터 종종 받고 있습니다.만약 내진성능평가가 과업의 범위에 포함되지에 않다면, 관리주체 확인을 받으라는 내용도 있습니다.내진성능평가 포함여부는 FMS에 첨부되는 대가내역서, 사전검토보고서 등의 파일로 확인이 가능할 걸로 보이는데, 내진성능평가가 포함되어 있지 않은 용역에 대해서 이러한 공문을 보내는 이유가 궁금합니다.어떤 근거를 가지고 어떤 시설물에 대해서 이런 공문을 보내는 건지 여쭙니다.진단업체 입장에서는 용역 준공 후 담당 감독이 다른 부서로 이동하거나, 퇴사하는 경우도 있어서 관리주체에 확인을 받으려고 하면 잘 모르겠다고 확인을 잘 안해주는 경우도 있고, 철도시설물의 정밀안전진단은 국가철도공단에서 발주하지만  관리주체는 한국철도공사이므로 관리주체에 문의하면 자신들이 발주하지 않은 용역이므로 확인을 안해주는 경우도 많습니다.이러한 경우에 내진성능평가가 포함되어 있지 않아 실시하지 않았는데, 그에 대한 불이익은 진단업체가 받아야 되는 건지 잘 이해가 안됩니다.이런 공문을 보내는 대상이 무엇인지 알고 싶습니다.",시설안전평가실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “내진성능평가 관련 자료 제출 요구 공문”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 우리원에서는 시설물안전법 제18조에 따라 정밀안전점검 및 정밀안진단 실시결과에 대한 평가를 수행하고 있으며,  시설물안전법 제21조 및 시설물의 안전 및 유지관리 등에 관한 지침(이하, 지침) 제66조에 의거하여 지침과 세부지침, 과업지시서, 과업수행계획서 등을 기준으로 평가를 진행하고 있습니다. 나. 우리원은 정밀안전진단 실시결과 평가 시 내진성능평가 포함 여부가 불명확한 경우 평가 누락을 방지하기 위해 내진성능평가 포함 여부를 진단 실시자에게 확인하고 있고, 귀하께서 시설물통합정보관리시스템(이하, FMS)을 통해  제출한 대가내역서, 사전검토보고서, 과업지시서 등을 확인한 결과 대가내역서 등에는 내진성능평가와 관련된 내용이 포함되어 있지 않으나, 과업지시서 일부에는 “내진성능평가”에 대한 내용이 명시되어 있어 확인 요청을 드렸습니다. 다. 향후에는 말씀하신 바와 같은 진단 실시자의 애로사항이 해소될 수 있도록 절차 개선을 위해 노력하겠습니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설안전평가실(업무담당 갈경완 ☏ 055-771-1631)로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다."
597,"(국가주요시설물) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",세부지침의 적용 시기,"2024년 시설물의 안전 및 유지관리 실시 세부지침이 개정되었습니다(국토교통부 2024년 12월 30일 승인).개정된 세부지침의 적용시기가 언제부터인지 여쭙니다.이미 진행 중인 용역에서는 기존의 세부지침을 준용하여 용역을 수행할 수 있을 것으로 생각되지만, 해당 승인 공문 등에서 적용 시기 등은 명기되어 있지 않아, 명확히 하기 위해 질의 남깁니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “세부지침 적용” 에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)(이하, 세부지침)에 따르면, 본 세부지침은 개정 이후 계약되는 안전점검·진단에 적용하시기 바랍니다. 라고 제시되어 있습니다.(시설물편 부록 마지막 페이지 참고) 나. 따라서, 세부지침 개정 일 이후에 계약되는 안전점검등에 적용하는 것이 적절할 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 주익재 ☏ 055-771-8331)으로 문의하여 주시면 친절히 답변드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다. "
616,안전관리계획서 작성 관련 문의,안전관리계획서 검토의뢰시  신규건 검토전 감리 미지정하고 접수 가능한지,1.안전관리계획서 신규건 검토의뢰시 감리가 선정되었으나 감리검토 의견서 없이 인.허가기관에서 검토의뢰를 진행 할수 있는지 문의드립니다.2.감리원 선정 유무와 관계없이 안전관리계획서 최초에 한하여 공사감독자 또는 건설사업기술인을 미지정하여도 접수를 받고 있는 걸로 알고 있습니다. 맞는건지 알고싶습니다.,건설안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 접수(공사 감리 지정) ”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 건설기술진흥법 시행령 제98조제2항에 따라 건설사업자와 주택건설등록업자는 안전관리계획을 수립하여 발주청 또는 인·허가기관의 장에게 제출하는 경우에는 미리 공사감독자 또는 건설사업관리기술인의 검토·확인을 받아야 한다고 명시되어있습니다. 이에 따라 시스템 내 공사감독자 또는 건설사업관리기술인의 확인기능을 두고 있습니다. 나. 다만, 공사 감리 선정 지연과 현장 공사 특성등을 감안해서 최초 검토의뢰에 한하여 공사감독자 또는 건설사업관리기술인을 미지정하여도 접수를 받고 있으니 참고하시길 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다."
68,건축물 해체계획서 검토 관련 문의,"자립형 가시설물(가설울타리, 외줄비계) 검토 중 활동, 전도 검토 안전율 질문","24년1월26일 소규모 자립형 가시설물(가설울타리, 외줄비계) 구조안전성 검토 서식 수정본 올려주신 자료를 봤습니다. 내용 중 활동, 전도 검토에서 안전율이 활동 1.5 전도 2.0으로 검토 되어있었는데, 어느 기준에서 발취하신건지 질문드립니다.",건축시설관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “소규모 자립형 가시설물 구조안전성검토 서식의 활동, 전도에 대한 안전율(1.5, 2.0)”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. KDS 11 80 00 옹벽설계기준의 안전율이 적용되었습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건축시설관실(업무담당 임진성 ☏ 055-771-4868)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다."
